date,name,value,category
2012-01-01,PP,42.7,PP
2012-01-01,PSOE,28.0,PSOE
2012-01-01,Vox,,Vox
2012-01-01,Otros,,Otros
2012-01-01,Podemos,,Podemos
2012-01-01,Ciudadanos,,Ciudadanos
2012-01-01,Más País,,Más País
2012-04-01,PP,40.6,PP
2012-04-01,PSOE,29.6,PSOE
2012-04-01,Vox,,Vox
2012-04-01,Otros,,Otros
2012-04-01,Podemos,0.8,Podemos
2012-04-01,Ciudadanos,,Ciudadanos
2012-04-01,Más País,,Más País
2012-07-01,PP,36.6,PP
2012-07-01,PSOE,29.9,PSOE
2012-07-01,Vox,,Vox
2012-07-01,Otros,,Otros
2012-07-01,Podemos,0.8,Podemos
2012-07-01,Ciudadanos,,Ciudadanos
2012-07-01,Más País,,Más País
2012-10-01,PP,35.9,PP
2012-10-01,PSOE,28.6,PSOE
2012-10-01,Vox,,Vox
2012-10-01,Otros,,Otros
2012-10-01,Podemos,0.7,Podemos
2012-10-01,Ciudadanos,,Ciudadanos
2012-10-01,Más País,,Más País
2013-01-01,PP,35.0,PP
2013-01-01,PSOE,30.2,PSOE
2013-01-01,Vox,,Vox
2013-01-01,Otros,,Otros
2013-01-01,Podemos,1.1,Podemos
2013-01-01,Ciudadanos,,Ciudadanos
2013-01-01,Más País,,Más País
2013-04-01,PP,34.0,PP
2013-04-01,PSOE,28.2,PSOE
2013-04-01,Vox,,Vox
2013-04-01,Otros,,Otros
2013-04-01,Podemos,0.5,Podemos
2013-04-01,Ciudadanos,,Ciudadanos
2013-04-01,Más País,,Más País
2013-07-01,PP,32.5,PP
2013-07-01,PSOE,27.2,PSOE
2013-07-01,Vox,,Vox
2013-07-01,Otros,,Otros
2013-07-01,Podemos,0.9,Podemos
2013-07-01,Ciudadanos,,Ciudadanos
2013-07-01,Más País,,Más País
2013-10-01,PP,34.0,PP
2013-10-01,PSOE,26.8,PSOE
2013-10-01,Vox,,Vox
2013-10-01,Otros,,Otros
2013-10-01,Podemos,0.5,Podemos
2013-10-01,Ciudadanos,,Ciudadanos
2013-10-01,Más País,,Más País
2014-01-01,PP,32.1,PP
2014-01-01,PSOE,26.6,PSOE
2014-01-01,Vox,,Vox
2014-01-01,Otros,,Otros
2014-01-01,Podemos,0.8,Podemos
2014-01-01,Ciudadanos,,Ciudadanos
2014-01-01,Más País,,Más País
2014-04-01,PP,31.9,PP
2014-04-01,PSOE,26.2,PSOE
2014-04-01,Vox,,Vox
2014-04-01,Otros,,Otros
2014-04-01,Podemos,1.7,Podemos
2014-04-01,Ciudadanos,,Ciudadanos
2014-04-01,Más País,,Más País
2014-07-01,PP,30.0,PP
2014-07-01,PSOE,21.2,PSOE
2014-07-01,Vox,,Vox
2014-07-01,Otros,,Otros
2014-07-01,Podemos,16.7,Podemos
2014-07-01,Ciudadanos,0.9,Ciudadanos
2014-07-01,Más País,,Más País
2014-10-01,PP,27.5,PP
2014-10-01,PSOE,23.9,PSOE
2014-10-01,Vox,,Vox
2014-10-01,Otros,,Otros
2014-10-01,Podemos,23.6,Podemos
2014-10-01,Ciudadanos,2.1,Ciudadanos
2014-10-01,Más País,,Más País
2015-01-01,PP,27.3,PP
2015-01-01,PSOE,22.2,PSOE
