Year,Period,PP,PSOE,Vox,Sumar (incluye IU. Compromís. En Comú. Más País. CHA. EQUO),Podemos,Ciudadanos,Más País
2012,Enero,42.70,28.00,,,,,
2012,Abril,40.60,29.60,,,0.80,,
2012,Julio,36.60,29.90,,,0.80,,
2012,Octubre,35.90,28.60,,,0.70,,
2013,Enero,35.00,30.20,,,1.10,,
2013,Abril,34.00,28.20,,,0.50,,
2013,Julio,32.50,27.20,,,0.90,,
2013,Octubre,34.00,26.80,,,0.50,,
2014,Enero,32.10,26.60,,,0.80,,
2014,Abril,31.90,26.20,,,1.70,,
2014,Julio,30.00,21.20,,,16.70,0.90,
2014,Octubre,27.50,23.90,,,23.60,2.10,
2015,Enero,27.30,22.20,,,24.50,3.10,
2015,Abril,25.60,24.30,,,17.30,13.80,
2015,Julio,28.20,24.90,,,16.90,11.10,
2015,Octubre,29.10,25.30,,,12.20,14.70,
2016,Enero,28.80,20.50,,,21.90,13.30,
2016,Abril,27.40,21.60,,,17.70,15.60,
2016,Julio,32.50,23.10,,,19.60,12.00,
2016,Octubre,34.50,17.00,,,21.80,12.80,
2017,Enero,33.00,18.60,,,21.70,12.40,
2017,Abril,31.50,19.90,,,19.70,14.90,
2017,Julio,28.80,24.90,,,20.30,14.50,
2017,Octubre,28.00,24.20,,,18.50,17.50,
2018,Enero,26.30,23.10,,,19.00,20.70,
2018,Abril,24.00,22.00,,,19.60,22.40,
2018,Julio,20.40,29.90,,,15.60,20.40,
2018,Septiembre,20.80,30.50,,,16.10,19.60,
2018,Octubre,18.20,31.60,1.30,,17.30,21.00,
2018,Noviembre,19.10,31.20,2.50,,18.00,18.20,
2018,Diciembre,19.10,28.90,3.70,,14.90,17.90,
2019,Enero,14.90,29.90,6.50,,15.40,17.70,
2019,Febrero,16.70,33.30,5.90,,14.50,15.30,
2019,Marzo,17.20,30.20,11.90,,12.90,13.60,
2019,Mayo,11.40,36.50,5.30,,15.30,16.30,
2019,Junio,13.70,39.50,5.10,,12.70,15.80,
2019,Julio,13.70,41.30,4.60,,13.10,12.30,
2019,Septiembre,17.10,34.20,7.50,,15.50,12.90,
2019,Octubre,18.10,32.20,7.90,,14.60,10.60,2.00
2019,Diciembre,20.00,28.30,15.20,,12.80,5.60,2.30
2020,Enero,19.90,30.40,13.40,,13.80,6.50,1.80
2020,Febrero,18.90,30.90,13.40,,13.40,8.10,1.60
2020,Marzo,19.60,31.90,14.80,,12.90,7.20,1.20
2020,Abril,21.10,31.20,13.00,,12.00,7.60,1.50
2020,Mayo,20.30,31.10,11.30,,11.50,10.50,1.40
2020,Junio,20.00,31.20,12.50,,11.40,9.40,1.30
2020,Julio,21.20,32.10,11.60,,12.10,8.80,0.90
2020,Septiembre,18.10,31.50,11.70,,12.20,10.60,1.50
2020,Octubre,18.90,30.80,12.50,,11.70,8.80,1.80
2020,Noviembre,18.60,30.40,13.20,,11.40,9.50,1.80
2020,Diciembre,19.20,29.50,14.00,,10.80,10.50,2.40
2021,Enero,20.50,30.70,13.00,,10.70,9.30,1.50
2021,Febrero,18.80,30.70,13.60,,11.20,9.30,1.70
2021,Marzo,17.90,31.30,15.00,,9.60,9.50,2.00
2021,Abril,20.60,31.50,15.40,,10.70,6.70,1.90
2021,Mayo,23.40,27.90,13.70,,10.40,5.30,3.80
2021,Junio,23.90,27.40,13.00,,12.00,5.70,4.10
2021,Julio,23.40,28.60,13.60,,10.60,5.50,3.70
2021,Septiembre,20.50,29.60,13.80,,11.30,6.50,3.30
2021,Octubre,22.10,28.50,13.20,,11.80,6.00,3.00
2021,Noviembre,20.90,27.60,14.30,,13.60,5.70,3.10
2021,Diciembre,20.80,28.00,14.60,,13.70,5.90,2.20
2022,Enero,21.50,28.50,14.70,,13.10,4.00,2.80
2022,Febrero,21.30,28.60,14.80,,13.60,4.80,2.50
2022,Marzo,23.80,31.50,16.30,,11.80,3.20,2.00
2022,Abril,27.20,30.30,14.40,,10.70,2.00,2.10
2022,Mayo,28.70,30.30,16.60,,9.60,1.80,2.10
2022,Junio,27.00,29.20,16.50,,9.80,1.90,1.90
2022,Julio,30.10,28.20,12.00,,13.40,1.70,1.90
2022,Septiembre,28.50,29.20,10.30,,12.80,2.80,1.90
2022,Octubre,28.70,32.70,8.80,,12.70,2.70,1.10
2022,Noviembre,27.20,32.70,10.10,,12.20,2.50,1.50
2022,Diciembre,28.60,30.60,10.20,,12.40,2.90,1.30
2023,Enero,28.50,30.20,10.00,,14.20,2.90,0.90
2023,Febrero,29.80,32.10,10.00,,12.70,2.00,0.70
2023,Marzo,28.00,32.70,10.10,,10.00,2.40,0.80
2023,Abril,26.10,30.40,11.10,10.60,6.70,2.80,
2023,Mayo,27.20,29.10,10.60,12.30,6.10,2.30,
2023,Junio,30.70,31.20,10.60,14.30,,,
2023,Julio,29.60,31.00,11.70,15.50,,,
2023,Septiembre,31.70,33.50,11.10,11.90,,,
2023,Octubre,32.20,32.60,10.10,12.70,,,
